"","Comparison","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","effect"
"11","C2.N61311 - N052611","R-HSA-376176","Signaling by ROBO receptors","209","0.6747059","1.955488","2.934870e-07","2.135468e-05","2.097807e-05","2591","tags=45%, list=12%, signal=40%","1.955488"
"12","C2.N61311 - N052611","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","109","-0.7599584","-1.872458","8.525931e-06","4.825045e-04","4.739952e-04","891","tags=26%, list=4%, signal=25%","-1.872458"
"13","C2.N61311 - N052611","R-HSA-389948","PD-1 signaling","12","-0.9641653","-1.765698","6.102021e-05","2.825421e-03","2.775592e-03","336","tags=25%, list=2%, signal=25%","-1.765698"
"14","C2.N61311 - N052611","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","183","0.7406671","2.108081","2.049442e-09","6.263096e-07","6.152642e-07","3193","tags=58%, list=15%, signal=50%","2.108081"
"15","C2.N61311 - N052611","R-HSA-72312","rRNA processing","203","0.7318588","2.112866","3.940182e-10","5.980555e-07","5.875084e-07","3193","tags=55%, list=15%, signal=47%","2.112866"
"16","C2.N61311 - N052611","R-HSA-72613","Eukaryotic Translation Initiation","119","0.7991642","2.164396","1.174193e-09","5.980555e-07","5.875084e-07","2782","tags=66%, list=13%, signal=57%","2.164396"
"17","C2.N61311 - N052611","R-HSA-72649","Translation initiation complex formation","59","0.8120641","1.984329","2.189532e-05","1.115201e-03","1.095534e-03","1333","tags=51%, list=6%, signal=48%","1.984329"
"18","C2.N61311 - N052611","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","60","0.8057325","1.983869","2.771113e-05","1.365890e-03","1.341802e-03","1333","tags=50%, list=6%, signal=47%","1.983869"
"19","C2.N61311 - N052611","R-HSA-72689","Formation of a pool of free 40S subunits","101","0.8149077","2.168396","1.707885e-08","1.631030e-06","1.602266e-06","2620","tags=71%, list=12%, signal=63%","2.168396"
"20","C2.N61311 - N052611","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","52","0.8301690","1.966527","1.159019e-05","6.106830e-04","5.999131e-04","1333","tags=56%, list=6%, signal=52%","1.966527"
"21","C2.N61311 - N052611","R-HSA-72702","Ribosomal scanning and start codon recognition","59","0.8208763","2.005862","1.054527e-05","5.754703e-04","5.653214e-04","1333","tags=51%, list=6%, signal=48%","2.005862"
"22","C2.N61311 - N052611","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","112","0.8035551","2.173754","4.835125e-09","9.235088e-07","9.072221e-07","1800","tags=57%, list=9%, signal=53%","2.173754"
"23","C2.N61311 - N052611","R-HSA-72737","Cap-dependent Translation Initiation","119","0.7991642","2.164396","1.174193e-09","5.980555e-07","5.875084e-07","2782","tags=66%, list=13%, signal=57%","2.164396"
"24","C2.N61311 - N052611","R-HSA-72764","Eukaryotic Translation Termination","93","0.8308709","2.167038","9.475352e-09","1.148017e-06","1.127771e-06","1800","tags=68%, list=9%, signal=62%","2.167038"
"25","C2.N61311 - N052611","R-HSA-72766","Translation","291","0.6643087","1.983083","1.531088e-08","1.559668e-06","1.532163e-06","2797","tags=42%, list=13%, signal=37%","1.983083"
"26","C2.N61311 - N052611","R-HSA-8868773","rRNA processing in the nucleus and cytosol","193","0.7405572","2.133849","2.926259e-09","6.627649e-07","6.510765e-07","3193","tags=58%, list=15%, signal=50%","2.133849"
"27","C2.N61311 - N052611","R-HSA-8957275","Post-translational protein phosphorylation","96","-0.7296752","-1.773810","3.426051e-04","1.495716e-02","1.469338e-02","1701","tags=30%, list=8%, signal=28%","-1.773810"
